,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
0,FC Bayern München,VfL Wolfsburg,home,575.13,221.05,9,9
1,TSG 1899 Hoffenheim,FC Augsburg,home,121.78,50.08,9,9
2,Hannover 96,FC Schalke 04,home,76.65,212.00,9,9
3,Hertha BSC,SV Werder Bremen,draw,66.00,67.53,9,9
4,Eintracht Frankfurt,SC Freiburg,home,74.90,57.40,9,9
5,1.FC Köln,Hamburger SV,draw,50.75,87.15,9,9
6,Borussia Dortmund,Bayer 04 Leverkusen,away,319.50,177.10,9,9
7,SC Paderborn 07,1.FSV Mainz 05,draw,28.50,88.00,9,9
8,Borussia Mönchengladbach,VfB Stuttgart,draw,130.63,86.95,9,9
9,FC Augsburg,Borussia Dortmund,away,50.08,319.50,18,17
10,Bayer 04 Leverkusen,Hertha BSC,home,177.10,66.00,2,7
11,VfL Wolfsburg,Eintracht Frankfurt,draw,221.05,74.90,15,5
12,SV Werder Bremen,TSG 1899 Hoffenheim,draw,67.53,121.78,8,1
13,VfB Stuttgart,1.FC Köln,away,86.95,50.75,11,13
14,Hamburger SV,SC Paderborn 07,away,87.15,28.50,12,9
15,FC Schalke 04,FC Bayern München,draw,212.00,575.13,14,3
16,1.FSV Mainz 05,Hannover 96,draw,88.00,76.65,6,4
17,SC Freiburg,Borussia Mönchengladbach,draw,57.40,130.63,16,10
18,Bayer 04 Leverkusen,SV Werder Bremen,draw,177.10,67.53,1,9
19,FC Bayern München,VfB Stuttgart,home,575.13,86.95,6,16
20,Borussia Dortmund,SC Freiburg,home,319.50,57.40,8,14
21,TSG 1899 Hoffenheim,VfL Wolfsburg,draw,121.78,221.05,3,12
22,Hertha BSC,1.FSV Mainz 05,away,66.00,88.00,15,10
23,SC Paderborn 07,1.FC Köln,draw,28.50,50.75,2,4
24,Borussia Mönchengladbach,FC Schalke 04,home,130.63,212.00,11,13
25,Eintracht Frankfurt,FC Augsburg,away,74.90,50.08,5,18
26,Hannover 96,Hamburger SV,home,76.65,87.15,7,17
27,SC Freiburg,Hertha BSC,draw,57.40,66.00,14,15
28,FC Schalke 04,Eintracht Frankfurt,draw,212.00,74.90,16,10
29,FC Augsburg,SV Werder Bremen,home,50.08,67.53,12,11
30,Hamburger SV,FC Bayern München,draw,87.15,575.13,18,2
31,VfB Stuttgart,TSG 1899 Hoffenheim,away,86.95,121.78,17,8
32,SC Paderborn 07,Hannover 96,home,28.50,76.65,6,3
33,1.FSV Mainz 05,Borussia Dortmund,home,88.00,319.50,7,4
34,VfL Wolfsburg,Bayer 04 Leverkusen,home,221.05,177.10,13,1
35,1.FC Köln,Borussia Mönchengladbach,draw,50.75,130.63,9,5
36,FC Bayern München,SC Paderborn 07,home,575.13,28.50,4,1
37,TSG 1899 Hoffenheim,SC Freiburg,draw,121.78,57.40,3,14
38,SV Werder Bremen,FC Schalke 04,away,67.53,212.00,13,16
39,Eintracht Frankfurt,1.FSV Mainz 05,draw,74.90,88.00,12,2
40,Borussia Dortmund,VfB Stuttgart,draw,319.50,86.95,10,18
41,Bayer 04 Leverkusen,FC Augsburg,home,177.10,50.08,5,9
42,Borussia Mönchengladbach,Hamburger SV,home,130.63,87.15,7,17
43,Hannover 96,1.FC Köln,home,76.65,50.75,6,8
44,Hertha BSC,VfL Wolfsburg,home,66.00,221.05,15,11
45,1.FSV Mainz 05,TSG 1899 Hoffenheim,draw,88.00,121.78,4,5
46,SC Freiburg,Bayer 04 Leverkusen,draw,57.40,177.10,15,2
47,VfB Stuttgart,Hannover 96,home,86.95,76.65,17,3
48,1.FC Köln,FC Bayern München,away,50.75,575.13,9,1
49,SC Paderborn 07,Borussia Mönchengladbach,away,28.50,130.63,7,6
50,FC Schalke 04,Borussia Dortmund,home,212.00,319.50,13,8
51,VfL Wolfsburg,SV Werder Bremen,home,221.05,67.53,12,16
52,FC Augsburg,Hertha BSC,home,50.08,66.00,11,14
53,Hamburger SV,Eintracht Frankfurt,away,87.15,74.90,18,10
54,Hertha BSC,VfB Stuttgart,home,66.00,86.95,14,15
55,FC Bayern München,Hannover 96,home,575.13,76.65,1,6
56,Borussia Dortmund,Hamburger SV,away,319.50,87.15,12,18
57,Bayer 04 Leverkusen,SC Paderborn 07,draw,177.10,28.50,3,11
58,TSG 1899 Hoffenheim,FC Schalke 04,home,121.78,212.00,4,10
59,SV Werder Bremen,SC Freiburg,draw,67.53,57.40,17,16
60,Eintracht Frankfurt,1.FC Köln,home,74.90,50.75,7,13
61,VfL Wolfsburg,FC Augsburg,home,221.05,50.08,9,8
62,Borussia Mönchengladbach,1.FSV Mainz 05,draw,130.63,88.00,2,5
63,FC Bayern München,SV Werder Bremen,home,575.13,67.53,1,18
64,1.FSV Mainz 05,FC Augsburg,home,88.00,50.08,6,10
65,Hannover 96,Borussia Mönchengladbach,away,76.65,130.63,8,3
66,SC Freiburg,VfL Wolfsburg,away,57.40,221.05,15,7
67,VfB Stuttgart,Bayer 04 Leverkusen,draw,86.95,177.10,16,4
68,1.FC Köln,Borussia Dortmund,home,50.75,319.50,14,13
69,FC Schalke 04,Hertha BSC,home,212.00,66.00,11,12
70,Hamburger SV,TSG 1899 Hoffenheim,draw,87.15,121.78,17,2
71,SC Paderborn 07,Eintracht Frankfurt,home,28.50,74.90,9,5
72,SV Werder Bremen,1.FC Köln,away,67.53,50.75,18,11
73,Borussia Dortmund,Hannover 96,away,319.50,76.65,14,10
74,FC Augsburg,SC Freiburg,home,50.08,57.40,12,17
75,TSG 1899 Hoffenheim,SC Paderborn 07,home,121.78,28.50,3,7
76,Hertha BSC,Hamburger SV,home,66.00,87.15,13,16
77,Eintracht Frankfurt,VfB Stuttgart,away,74.90,86.95,8,15
78,Bayer 04 Leverkusen,FC Schalke 04,home,177.10,212.00,6,9
79,VfL Wolfsburg,1.FSV Mainz 05,home,221.05,88.00,5,4
80,Borussia Mönchengladbach,FC Bayern München,draw,130.63,575.13,2,1
81,FC Schalke 04,FC Augsburg,home,212.00,50.08,12,9
82,1.FSV Mainz 05,SV Werder Bremen,away,88.00,67.53,6,18
83,Hannover 96,Eintracht Frankfurt,home,76.65,74.90,7,11
84,VfB Stuttgart,VfL Wolfsburg,away,86.95,221.05,14,3
85,Hamburger SV,Bayer 04 Leverkusen,home,87.15,177.10,16,5
86,FC Bayern München,Borussia Dortmund,home,575.13,319.50,1,15
87,Borussia Mönchengladbach,TSG 1899 Hoffenheim,home,130.63,121.78,2,4
88,1.FC Köln,SC Freiburg,away,50.75,57.40,10,17
89,SC Paderborn 07,Hertha BSC,home,28.50,66.00,8,13
90,Hertha BSC,Hannover 96,away,66.00,76.65,13,6
91,Bayer 04 Leverkusen,1.FSV Mainz 05,draw,177.10,88.00,5,9
92,FC Augsburg,SC Paderborn 07,home,50.08,28.50,10,7
93,TSG 1899 Hoffenheim,1.FC Köln,away,121.78,50.75,4,11
94,Eintracht Frankfurt,FC Bayern München,away,74.90,575.13,12,1
95,SC Freiburg,FC Schalke 04,home,57.40,212.00,16,8
96,SV Werder Bremen,VfB Stuttgart,home,67.53,86.95,18,15
97,VfL Wolfsburg,Hamburger SV,home,221.05,87.15,2,14
98,Borussia Dortmund,Borussia Mönchengladbach,home,319.50,130.63,17,3
99,FC Bayern München,TSG 1899 Hoffenheim,home,575.13,121.78,1,5
100,FC Schalke 04,VfL Wolfsburg,home,212.00,221.05,11,2
101,Borussia Mönchengladbach,Eintracht Frankfurt,away,130.63,74.90,3,12
102,1.FSV Mainz 05,SC Freiburg,draw,88.00,57.40,8,13
103,Hannover 96,Bayer 04 Leverkusen,away,76.65,177.10,4,6
104,SC Paderborn 07,Borussia Dortmund,draw,28.50,319.50,9,15
105,1.FC Köln,Hertha BSC,away,50.75,66.00,10,14
106,Hamburger SV,SV Werder Bremen,home,87.15,67.53,17,16
107,VfB Stuttgart,FC Augsburg,away,86.95,50.08,18,7
108,SC Freiburg,VfB Stuttgart,away,57.40,86.95,14,18
109,FC Schalke 04,1.FSV Mainz 05,home,212.00,88.00,7,9
110,Bayer 04 Leverkusen,1.FC Köln,home,177.10,50.75,4,11
111,FC Augsburg,Hamburger SV,home,50.08,87.15,6,15
112,Hertha BSC,FC Bayern München,away,66.00,575.13,13,1
113,SV Werder Bremen,SC Paderborn 07,home,67.53,28.50,17,10
114,TSG 1899 Hoffenheim,Hannover 96,home,121.78,76.65,8,5
115,VfL Wolfsburg,Borussia Mönchengladbach,home,221.05,130.63,2,3
116,Eintracht Frankfurt,Borussia Dortmund,home,74.90,319.50,12,16
117,Borussia Dortmund,TSG 1899 Hoffenheim,home,319.50,121.78,18,7
118,Borussia Mönchengladbach,Hertha BSC,home,130.63,66.00,5,13
119,Hannover 96,VfL Wolfsburg,away,76.65,221.05,8,2
120,VfB Stuttgart,FC Schalke 04,away,86.95,212.00,16,6
121,1.FC Köln,FC Augsburg,away,50.75,50.08,12,4
122,SC Paderborn 07,SC Freiburg,draw,28.50,57.40,11,15
123,FC Bayern München,Bayer 04 Leverkusen,home,575.13,177.10,1,3
124,Hamburger SV,1.FSV Mainz 05,home,87.15,88.00,17,10
125,Eintracht Frankfurt,SV Werder Bremen,home,74.90,67.53,9,14
126,TSG 1899 Hoffenheim,Eintracht Frankfurt,home,121.78,74.90,8,7
127,FC Schalke 04,1.FC Köln,away,212.00,50.75,5,12
128,FC Augsburg,FC Bayern München,away,50.08,575.13,3,1
129,Hertha BSC,Borussia Dortmund,home,66.00,319.50,15,14
130,SV Werder Bremen,Hannover 96,draw,67.53,76.65,17,9
131,SC Freiburg,Hamburger SV,draw,57.40,87.15,16,13
132,1.FSV Mainz 05,VfB Stuttgart,draw,88.00,86.95,11,18
133,Bayer 04 Leverkusen,Borussia Mönchengladbach,draw,177.10,130.63,4,6
134,VfL Wolfsburg,SC Paderborn 07,draw,221.05,28.50,2,10
135,FC Bayern München,SC Freiburg,home,575.13,57.40,1,15
136,Hannover 96,FC Augsburg,home,76.65,50.08,9,5
137,Hamburger SV,VfB Stuttgart,away,87.15,86.95,14,18
138,1.FC Köln,1.FSV Mainz 05,draw,50.75,88.00,11,12
139,Borussia Dortmund,VfL Wolfsburg,draw,319.50,221.05,16,2
140,Borussia Mönchengladbach,SV Werder Bremen,home,130.63,67.53,4,17
141,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,away,121.78,177.10,7,3
142,Eintracht Frankfurt,Hertha BSC,draw,74.90,66.00,8,13
143,SC Paderborn 07,FC Schalke 04,away,28.50,212.00,10,6
144,1.FSV Mainz 05,FC Bayern München,away,88.00,575.13,11,1
145,FC Schalke 04,Hamburger SV,draw,212.00,87.15,5,14
146,Bayer 04 Leverkusen,Eintracht Frankfurt,draw,177.10,74.90,4,9
147,FC Augsburg,Borussia Mönchengladbach,home,50.08,130.63,6,3
148,SV Werder Bremen,Borussia Dortmund,home,67.53,319.50,18,16
149,VfB Stuttgart,SC Paderborn 07,draw,86.95,28.50,15,12
150,VfL Wolfsburg,1.FC Köln,home,221.05,50.75,2,10
151,Hertha BSC,TSG 1899 Hoffenheim,away,66.00,121.78,13,7
152,SC Freiburg,Hannover 96,draw,57.40,76.65,17,8
153,VfL Wolfsburg,FC Bayern München,home,221.05,575.13,2,1
154,FC Schalke 04,Hannover 96,home,212.00,76.65,5,8
155,1.FSV Mainz 05,SC Paderborn 07,home,88.00,28.50,12,10
156,SC Freiburg,Eintracht Frankfurt,home,57.40,74.90,18,9
157,VfB Stuttgart,Borussia Mönchengladbach,away,86.95,130.63,15,4
158,Hamburger SV,1.FC Köln,away,87.15,50.75,14,11
159,Bayer 04 Leverkusen,Borussia Dortmund,draw,177.10,319.50,3,17
160,SV Werder Bremen,Hertha BSC,home,67.53,66.00,16,13
161,FC Augsburg,TSG 1899 Hoffenheim,home,50.08,121.78,6,7
162,FC Bayern München,FC Schalke 04,draw,575.13,212.00,1,4
163,Borussia Mönchengladbach,SC Freiburg,home,130.63,57.40,3,14
164,Hannover 96,1.FSV Mainz 05,draw,76.65,88.00,8,11
165,Eintracht Frankfurt,VfL Wolfsburg,draw,74.90,221.05,9,2
166,Borussia Dortmund,FC Augsburg,away,319.50,50.08,18,5
167,TSG 1899 Hoffenheim,SV Werder Bremen,away,121.78,67.53,7,12
168,Hertha BSC,Bayer 04 Leverkusen,away,66.00,177.10,15,6
169,1.FC Köln,VfB Stuttgart,draw,50.75,86.95,10,17
170,SC Paderborn 07,Hamburger SV,away,28.50,87.15,13,16
171,FC Schalke 04,Borussia Mönchengladbach,home,212.00,130.63,6,3
172,VfL Wolfsburg,TSG 1899 Hoffenheim,home,221.05,121.78,2,7
173,1.FSV Mainz 05,Hertha BSC,away,88.00,66.00,12,17
174,SC Freiburg,Borussia Dortmund,away,57.40,319.50,15,18
175,VfB Stuttgart,FC Bayern München,away,86.95,575.13,16,1
176,1.FC Köln,SC Paderborn 07,draw,50.75,28.50,10,14
177,Hamburger SV,Hannover 96,home,87.15,76.65,13,8
178,SV Werder Bremen,Bayer 04 Leverkusen,home,67.53,177.10,11,5
179,FC Augsburg,Eintracht Frankfurt,draw,50.08,74.90,4,9
180,Borussia Dortmund,1.FSV Mainz 05,home,319.50,88.00,16,13
181,FC Bayern München,Hamburger SV,home,575.13,87.15,1,12
182,Bayer 04 Leverkusen,VfL Wolfsburg,away,177.10,221.05,6,2
183,Borussia Mönchengladbach,1.FC Köln,home,130.63,50.75,5,11
184,TSG 1899 Hoffenheim,VfB Stuttgart,home,121.78,86.95,7,18
185,SV Werder Bremen,FC Augsburg,home,67.53,50.08,8,4
186,Eintracht Frankfurt,FC Schalke 04,home,74.90,212.00,9,3
187,Hertha BSC,SC Freiburg,away,66.00,57.40,14,17
188,Hannover 96,SC Paderborn 07,away,76.65,28.50,10,15
189,VfB Stuttgart,Borussia Dortmund,away,86.95,319.50,18,15
190,FC Schalke 04,SV Werder Bremen,draw,212.00,67.53,4,8
191,1.FSV Mainz 05,Eintracht Frankfurt,home,88.00,74.90,14,9
192,FC Augsburg,Bayer 04 Leverkusen,draw,50.08,177.10,5,6
193,SC Freiburg,TSG 1899 Hoffenheim,draw,57.40,121.78,16,7
194,SC Paderborn 07,FC Bayern München,away,28.50,575.13,12,1
195,1.FC Köln,Hannover 96,draw,50.75,76.65,11,10
196,Hamburger SV,Borussia Mönchengladbach,draw,87.15,130.63,13,3
197,VfL Wolfsburg,Hertha BSC,home,221.05,66.00,2,17
198,FC Bayern München,1.FC Köln,home,575.13,50.75,1,13
199,Borussia Dortmund,FC Schalke 04,home,319.50,212.00,12,4
200,Bayer 04 Leverkusen,SC Freiburg,home,177.10,57.40,6,16
201,TSG 1899 Hoffenheim,1.FSV Mainz 05,home,121.78,88.00,7,11
202,Hannover 96,VfB Stuttgart,draw,76.65,86.95,10,18
203,Hertha BSC,FC Augsburg,home,66.00,50.08,17,5
204,Eintracht Frankfurt,Hamburger SV,home,74.90,87.15,9,14
205,Borussia Mönchengladbach,SC Paderborn 07,home,130.63,28.50,3,15
206,SV Werder Bremen,VfL Wolfsburg,away,67.53,221.05,8,2
207,VfB Stuttgart,Hertha BSC,draw,86.95,66.00,18,14
208,FC Schalke 04,TSG 1899 Hoffenheim,home,212.00,121.78,5,7
209,FC Augsburg,VfL Wolfsburg,home,50.08,221.05,6,2
210,Hannover 96,FC Bayern München,away,76.65,575.13,11,1
211,SC Freiburg,SV Werder Bremen,away,57.40,67.53,17,9
212,Hamburger SV,Borussia Dortmund,draw,87.15,319.50,15,10
213,1.FSV Mainz 05,Borussia Mönchengladbach,draw,88.00,130.63,12,3
214,1.FC Köln,Eintracht Frankfurt,home,50.75,74.90,13,8
215,SC Paderborn 07,Bayer 04 Leverkusen,away,28.50,177.10,16,4
216,Bayer 04 Leverkusen,VfB Stuttgart,home,177.10,86.95,4,18
217,FC Augsburg,1.FSV Mainz 05,away,50.08,88.00,6,13
218,TSG 1899 Hoffenheim,Hamburger SV,home,121.78,87.15,7,15
219,Hertha BSC,FC Schalke 04,draw,66.00,212.00,14,5
220,SV Werder Bremen,FC Bayern München,away,67.53,575.13,8,1
221,Eintracht Frankfurt,SC Paderborn 07,home,74.90,28.50,9,16
222,Borussia Dortmund,1.FC Köln,draw,319.50,50.75,10,11
223,VfL Wolfsburg,SC Freiburg,home,221.05,57.40,2,17
224,Borussia Mönchengladbach,Hannover 96,home,130.63,76.65,3,12
225,Hamburger SV,Hertha BSC,away,87.15,66.00,15,14
226,Hannover 96,Borussia Dortmund,away,76.65,319.50,13,10
227,SC Freiburg,FC Augsburg,home,57.40,50.08,17,6
228,VfB Stuttgart,Eintracht Frankfurt,home,86.95,74.90,18,8
229,1.FC Köln,SV Werder Bremen,draw,50.75,67.53,12,9
230,SC Paderborn 07,TSG 1899 Hoffenheim,draw,28.50,121.78,16,7
231,FC Schalke 04,Bayer 04 Leverkusen,away,212.00,177.10,5,4
232,1.FSV Mainz 05,VfL Wolfsburg,draw,88.00,221.05,11,2
233,FC Bayern München,Borussia Mönchengladbach,away,575.13,130.63,1,3
234,Bayer 04 Leverkusen,Hamburger SV,home,177.10,87.15,4,16
235,VfL Wolfsburg,VfB Stuttgart,home,221.05,86.95,2,18
236,TSG 1899 Hoffenheim,Borussia Mönchengladbach,away,121.78,130.63,7,3
237,SV Werder Bremen,1.FSV Mainz 05,draw,67.53,88.00,9,11
238,Eintracht Frankfurt,Hannover 96,draw,74.90,76.65,8,14
239,SC Freiburg,1.FC Köln,home,57.40,50.75,15,12
240,Borussia Dortmund,FC Bayern München,away,319.50,575.13,10,1
241,FC Augsburg,FC Schalke 04,draw,50.08,212.00,6,5
242,Hertha BSC,SC Paderborn 07,home,66.00,28.50,13,17
243,Hannover 96,Hertha BSC,draw,76.65,66.00,15,11
244,FC Bayern München,Eintracht Frankfurt,home,575.13,74.90,1,8
245,FC Schalke 04,SC Freiburg,draw,212.00,57.40,5,14
246,Borussia Mönchengladbach,Borussia Dortmund,home,130.63,319.50,3,10
247,1.FSV Mainz 05,Bayer 04 Leverkusen,away,88.00,177.10,12,4
248,SC Paderborn 07,FC Augsburg,home,28.50,50.08,17,6
249,Hamburger SV,VfL Wolfsburg,away,87.15,221.05,16,2
250,1.FC Köln,TSG 1899 Hoffenheim,home,50.75,121.78,13,7
251,VfB Stuttgart,SV Werder Bremen,home,86.95,67.53,18,9
252,Eintracht Frankfurt,Borussia Mönchengladbach,draw,74.90,130.63,8,3
253,Borussia Dortmund,SC Paderborn 07,home,319.50,28.50,10,16
254,Bayer 04 Leverkusen,Hannover 96,home,177.10,76.65,4,15
255,TSG 1899 Hoffenheim,FC Bayern München,away,121.78,575.13,7,1
256,Hertha BSC,1.FC Köln,draw,66.00,50.75,12,11
257,SC Freiburg,1.FSV Mainz 05,away,57.40,88.00,14,13
258,FC Augsburg,VfB Stuttgart,home,50.08,86.95,6,17
259,SV Werder Bremen,Hamburger SV,home,67.53,87.15,9,18
260,VfL Wolfsburg,FC Schalke 04,draw,221.05,212.00,2,5
261,1.FSV Mainz 05,FC Schalke 04,home,88.00,212.00,11,5
262,Borussia Dortmund,Eintracht Frankfurt,home,319.50,74.90,9,10
263,Hannover 96,TSG 1899 Hoffenheim,away,76.65,121.78,15,8
264,VfB Stuttgart,SC Freiburg,draw,86.95,57.40,17,14
265,Hamburger SV,FC Augsburg,home,87.15,50.08,18,6
266,1.FC Köln,Bayer 04 Leverkusen,draw,50.75,177.10,12,3
267,FC Bayern München,Hertha BSC,home,575.13,66.00,1,13
268,SC Paderborn 07,SV Werder Bremen,draw,28.50,67.53,16,7
269,Borussia Mönchengladbach,VfL Wolfsburg,home,130.63,221.05,4,2
270,FC Schalke 04,VfB Stuttgart,home,212.00,86.95,5,18
271,VfL Wolfsburg,Hannover 96,draw,221.05,76.65,2,15
272,FC Augsburg,1.FC Köln,draw,50.08,50.75,6,12
273,TSG 1899 Hoffenheim,Borussia Dortmund,draw,121.78,319.50,7,8
274,SV Werder Bremen,Eintracht Frankfurt,home,67.53,74.90,9,11
275,SC Freiburg,SC Paderborn 07,away,57.40,28.50,14,17
276,Bayer 04 Leverkusen,FC Bayern München,home,177.10,575.13,4,1
277,1.FSV Mainz 05,Hamburger SV,away,88.00,87.15,10,16
278,Hertha BSC,Borussia Mönchengladbach,away,66.00,130.63,13,3
279,Hamburger SV,SC Freiburg,draw,87.15,57.40,14,16
280,FC Bayern München,FC Augsburg,away,575.13,50.08,1,6
281,Borussia Dortmund,Hertha BSC,home,319.50,66.00,9,13
282,Borussia Mönchengladbach,Bayer 04 Leverkusen,home,130.63,177.10,3,4
283,Hannover 96,SV Werder Bremen,draw,76.65,67.53,17,7
284,Eintracht Frankfurt,TSG 1899 Hoffenheim,home,74.90,121.78,12,8
285,VfB Stuttgart,1.FSV Mainz 05,home,86.95,88.00,18,10
286,SC Paderborn 07,VfL Wolfsburg,away,28.50,221.05,15,2
287,1.FC Köln,FC Schalke 04,home,50.75,212.00,11,5
288,FC Schalke 04,SC Paderborn 07,home,212.00,28.50,6,17
289,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,home,177.10,121.78,4,9
290,VfL Wolfsburg,Borussia Dortmund,home,221.05,319.50,2,7
291,1.FSV Mainz 05,1.FC Köln,home,88.00,50.75,12,10
292,FC Augsburg,Hannover 96,away,50.08,76.65,5,16
293,Hertha BSC,Eintracht Frankfurt,draw,66.00,74.90,13,11
294,SC Freiburg,FC Bayern München,home,57.40,575.13,15,1
295,VfB Stuttgart,Hamburger SV,home,86.95,87.15,18,14
296,SV Werder Bremen,Borussia Mönchengladbach,away,67.53,130.63,8,3
297,Eintracht Frankfurt,Bayer 04 Leverkusen,home,74.90,177.10,11,4
298,Hamburger SV,FC Schalke 04,home,87.15,212.00,17,5
299,1.FC Köln,VfL Wolfsburg,draw,50.75,221.05,12,2
300,SC Paderborn 07,VfB Stuttgart,away,28.50,86.95,18,16
301,FC Bayern München,1.FSV Mainz 05,home,575.13,88.00,1,10
302,Borussia Dortmund,SV Werder Bremen,home,319.50,67.53,7,8
303,Borussia Mönchengladbach,FC Augsburg,away,130.63,50.08,3,6
304,TSG 1899 Hoffenheim,Hertha BSC,home,121.78,66.00,9,13
305,Hannover 96,SC Freiburg,home,76.65,57.40,15,14
306,FC Bayern München,Hamburger SV,home,596.05,63.20,9,9
307,SV Werder Bremen,FC Schalke 04,away,64.68,225.20,9,9
308,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,home,241.30,90.20,9,9
309,SV Darmstadt 98,Hannover 96,draw,25.15,60.83,9,9
310,1.FSV Mainz 05,FC Ingolstadt 04,away,85.15,35.65,9,9
311,FC Augsburg,Hertha BSC,away,75.83,78.93,9,9
312,Borussia Dortmund,Borussia Mönchengladbach,home,352.95,186.15,9,9
313,VfL Wolfsburg,Eintracht Frankfurt,home,270.43,76.60,9,9
314,VfB Stuttgart,1.FC Köln,away,81.18,68.63,9,9
315,Hertha BSC,SV Werder Bremen,draw,78.93,64.68,7,16
316,FC Schalke 04,SV Darmstadt 98,draw,225.20,25.15,3,9
317,Eintracht Frankfurt,FC Augsburg,draw,76.60,75.83,11,14
318,1.FC Köln,VfL Wolfsburg,draw,68.63,270.43,4,6
319,Hannover 96,Bayer 04 Leverkusen,away,60.83,241.30,10,5
320,TSG 1899 Hoffenheim,FC Bayern München,away,90.20,596.05,12,1
321,Hamburger SV,VfB Stuttgart,home,63.20,81.18,18,15
322,FC Ingolstadt 04,Borussia Dortmund,away,35.65,352.95,8,2
323,Borussia Mönchengladbach,1.FSV Mainz 05,away,186.15,85.15,17,13
324,VfL Wolfsburg,FC Schalke 04,home,270.43,225.20,6,4
325,VfB Stuttgart,Eintracht Frankfurt,away,81.18,76.60,17,12
326,1.FC Köln,Hamburger SV,home,68.63,63.20,5,10
327,1.FSV Mainz 05,Hannover 96,home,85.15,60.83,8,13
328,SV Darmstadt 98,TSG 1899 Hoffenheim,draw,25.15,90.20,11,16
329,FC Augsburg,FC Ingolstadt 04,away,75.83,35.65,14,9
330,FC Bayern München,Bayer 04 Leverkusen,home,596.05,241.30,2,3
331,Borussia Dortmund,Hertha BSC,home,352.95,78.93,1,7
332,SV Werder Bremen,Borussia Mönchengladbach,home,64.68,186.15,15,18
333,Borussia Mönchengladbach,Hamburger SV,away,186.15,63.20,18,13
334,FC Bayern München,FC Augsburg,home,596.05,75.83,2,15
335,Bayer 04 Leverkusen,SV Darmstadt 98,away,241.30,25.15,6,12
336,Hannover 96,Borussia Dortmund,away,60.83,352.95,16,1
337,Hertha BSC,VfB Stuttgart,home,78.93,81.18,10,17
338,FC Ingolstadt 04,VfL Wolfsburg,draw,35.65,270.43,7,3
339,Eintracht Frankfurt,1.FC Köln,home,76.60,68.63,8,4
340,TSG 1899 Hoffenheim,SV Werder Bremen,away,90.20,64.68,14,11
341,FC Schalke 04,1.FSV Mainz 05,home,225.20,85.15,9,5
342,1.FSV Mainz 05,TSG 1899 Hoffenheim,home,85.15,90.20,10,15
343,VfL Wolfsburg,Hertha BSC,home,270.43,78.93,3,7
344,Hamburger SV,Eintracht Frankfurt,draw,63.20,76.60,12,4
345,SV Werder Bremen,FC Ingolstadt 04,away,64.68,35.65,6,9
346,1.FC Köln,Borussia Mönchengladbach,home,68.63,186.15,8,18
347,SV Darmstadt 98,FC Bayern München,away,25.15,596.05,11,2
348,VfB Stuttgart,FC Schalke 04,away,81.18,225.20,17,5
349,Borussia Dortmund,Bayer 04 Leverkusen,home,352.95,241.30,1,13
350,FC Augsburg,Hannover 96,home,75.83,60.83,14,16
351,FC Bayern München,VfL Wolfsburg,home,596.05,270.43,2,3
352,Hertha BSC,1.FC Köln,home,78.93,68.63,11,5
353,FC Ingolstadt 04,Hamburger SV,away,35.65,63.20,6,10
354,SV Darmstadt 98,SV Werder Bremen,home,25.15,64.68,12,9
355,FC Schalke 04,Eintracht Frankfurt,home,225.20,76.60,4,8
356,Bayer 04 Leverkusen,1.FSV Mainz 05,home,241.30,85.15,13,7
357,Borussia Mönchengladbach,FC Augsburg,home,186.15,75.83,18,14
358,Hannover 96,VfB Stuttgart,away,60.83,81.18,16,17
359,TSG 1899 Hoffenheim,Borussia Dortmund,draw,90.20,352.95,15,1
360,1.FC Köln,FC Ingolstadt 04,draw,68.63,35.65,7,8
361,VfL Wolfsburg,Hannover 96,draw,270.43,60.83,4,18
362,VfB Stuttgart,Borussia Mönchengladbach,away,81.18,186.15,15,16
363,FC Augsburg,TSG 1899 Hoffenheim,away,75.83,90.20,14,17
364,SV Werder Bremen,Bayer 04 Leverkusen,away,64.68,241.30,13,11
365,1.FSV Mainz 05,FC Bayern München,away,85.15,596.05,9,1
366,Hamburger SV,FC Schalke 04,away,63.20,225.20,6,3
367,Eintracht Frankfurt,Hertha BSC,draw,76.60,78.93,12,5
368,Borussia Dortmund,SV Darmstadt 98,draw,352.95,25.15,2,10
369,SV Darmstadt 98,1.FSV Mainz 05,away,25.15,85.15,9,12
370,Borussia Mönchengladbach,VfL Wolfsburg,home,186.15,270.43,14,4
371,Hannover 96,SV Werder Bremen,home,60.83,64.68,18,13
372,Hertha BSC,Hamburger SV,home,78.93,63.20,6,10
373,TSG 1899 Hoffenheim,VfB Stuttgart,draw,90.20,81.18,15,17
374,FC Ingolstadt 04,Eintracht Frankfurt,home,35.65,76.60,8,11
375,FC Schalke 04,1.FC Köln,away,225.20,68.63,3,7
376,FC Bayern München,Borussia Dortmund,home,596.05,352.95,1,2
377,Bayer 04 Leverkusen,FC Augsburg,draw,241.30,75.83,5,16
378,1.FSV Mainz 05,Borussia Dortmund,away,85.15,352.95,8,2
379,FC Schalke 04,Hertha BSC,home,225.20,78.93,3,4
380,VfL Wolfsburg,TSG 1899 Hoffenheim,home,270.43,90.20,9,15
381,Hamburger SV,Bayer 04 Leverkusen,draw,63.20,241.30,11,7
