,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
1813,Eintracht Frankfurt,FC Schalke 04,home,208.98,221.58,10,9
1814,Borussia Dortmund,1.FSV Mainz 05,away,654.05,121.58,2,15
1815,RasenBallsport Leipzig,Fortuna Düsseldorf,draw,570.48,71.78,3,16
1816,Bayer 04 Leverkusen,1.FC Köln,home,398.95,98.48,4,12
1817,FC Augsburg,TSG 1899 Hoffenheim,away,112.95,226.05,13,7
1818,FC Bayern München,SC Freiburg,home,777.33,122.65,1,8
1819,RasenBallsport Leipzig,Borussia Dortmund,away,570.48,654.05,3,2
1820,TSG 1899 Hoffenheim,1.FC Union Berlin,home,226.05,41.20,7,12
1821,Fortuna Düsseldorf,FC Augsburg,draw,71.78,112.95,16,14
1822,Hertha BSC,Bayer 04 Leverkusen,home,217.20,398.95,11,4
1823,1.FSV Mainz 05,SV Werder Bremen,home,121.58,135.13,15,17
1824,FC Schalke 04,VfL Wolfsburg,away,221.58,207.60,10,6
1825,1.FC Köln,Eintracht Frankfurt,draw,98.48,208.98,13,9
1826,SC Paderborn 07,Borussia Mönchengladbach,away,28.90,254.70,18,5
1827,Borussia Dortmund,TSG 1899 Hoffenheim,away,654.05,226.05,2,7
1828,Bayer 04 Leverkusen,1.FSV Mainz 05,home,398.95,121.58,5,13
1829,Borussia Mönchengladbach,Hertha BSC,home,254.70,217.20,4,10
1830,VfL Wolfsburg,FC Bayern München,away,207.60,777.33,6,1
1831,Eintracht Frankfurt,SC Paderborn 07,home,208.98,28.90,9,18
1832,SV Werder Bremen,1.FC Köln,home,135.13,98.48,17,14
1833,SC Freiburg,FC Schalke 04,home,122.65,221.58,8,11
1834,FC Augsburg,RasenBallsport Leipzig,away,112.95,570.48,15,3
1835,1.FC Union Berlin,Fortuna Düsseldorf,home,41.20,71.78,12,16
1836,FC Bayern München,FC Schalke 04,home,858.23,123.05,9,9
1837,Eintracht Frankfurt,Arminia Bielefeld,draw,269.15,56.73,9,9
1838,1.FC Union Berlin,FC Augsburg,away,82.05,93.05,9,9
1839,1.FC Köln,TSG 1899 Hoffenheim,away,118.20,228.15,9,9
1840,SV Werder Bremen,Hertha BSC,away,111.98,228.88,9,9
1841,VfB Stuttgart,SC Freiburg,away,189.25,139.10,9,9
1842,Borussia Dortmund,Borussia Mönchengladbach,home,628.40,300.75,9,9
1843,RasenBallsport Leipzig,1.FSV Mainz 05,home,574.95,163.30,9,9
1844,VfL Wolfsburg,Bayer 04 Leverkusen,draw,256.83,373.25,9,9
1845,Hertha BSC,Eintracht Frankfurt,away,228.88,269.15,2,8
1846,Borussia Mönchengladbach,1.FC Union Berlin,draw,300.75,82.05,17,15
1847,Bayer 04 Leverkusen,RasenBallsport Leipzig,draw,373.25,574.95,11,5
1848,1.FSV Mainz 05,VfB Stuttgart,away,163.30,189.25,14,12
1849,FC Augsburg,Borussia Dortmund,home,93.05,628.40,4,3
1850,Arminia Bielefeld,1.FC Köln,home,56.73,118.20,9,13
