,Home_Team,Away_Team,Goals_Home,Goals_Away,Date
0,Borussia Dortmund,FC Hansa Rostock,1,0,2000-11-08
1,1.FC Kaiserslautern,VfL Bochum,0,1,2000-11-08
2,Bayer 04 Leverkusen,VfL Wolfsburg,2,0,2000-11-08
3,SC Freiburg,VfB Stuttgart,4,0,2000-11-08
4,SV Werder Bremen,FC Energie Cottbus,3,1,2000-11-08
5,Hamburger SV,TSV 1860 München,2,2,2000-11-08
6,FC Bayern München,Hertha BSC,4,1,2000-11-08
7,Eintracht Frankfurt,SpVgg Unterhaching,3,0,2000-11-08
8,FC Schalke 04,1.FC Köln,2,1,2000-11-08
9,FC Energie Cottbus,Borussia Dortmund,1,4,2000-08-18
10,VfL Bochum,FC Bayern München,0,3,2000-08-18
11,Hertha BSC,Hamburger SV,4,0,2000-08-18
12,VfL Wolfsburg,1.FC Kaiserslautern,4,0,2000-08-18
13,SpVgg Unterhaching,SC Freiburg,1,1,2000-08-18
14,TSV 1860 München,SV Werder Bremen,2,1,2000-08-18
15,VfB Stuttgart,Bayer 04 Leverkusen,4,1,2000-08-18
16,1.FC Köln,Eintracht Frankfurt,4,1,2000-08-18
17,FC Hansa Rostock,FC Schalke 04,0,4,2000-08-18
18,SC Freiburg,1.FC Köln,0,0,2000-05-09
19,1.FC Kaiserslautern,VfB Stuttgart,1,0,2000-05-09
20,Bayer 04 Leverkusen,SpVgg Unterhaching,1,0,2000-05-09
21,FC Schalke 04,FC Energie Cottbus,3,0,2000-05-09
22,Hamburger SV,SV Werder Bremen,2,1,2000-05-09
23,FC Bayern München,VfL Wolfsburg,3,1,2000-05-09
24,Hertha BSC,VfL Bochum,4,0,2000-05-09
25,Eintracht Frankfurt,FC Hansa Rostock,4,0,2000-05-09
26,Borussia Dortmund,TSV 1860 München,2,3,2000-05-09
27,SpVgg Unterhaching,1.FC Kaiserslautern,0,0,2000-08-09
28,VfB Stuttgart,FC Bayern München,2,1,2000-08-09
29,VfL Wolfsburg,Hertha BSC,2,1,2000-08-09
30,VfL Bochum,Hamburger SV,0,4,2000-08-09
31,1.FC Köln,Bayer 04 Leverkusen,1,1,2000-08-09
32,TSV 1860 München,FC Schalke 04,1,1,2000-08-09
33,SV Werder Bremen,Borussia Dortmund,1,2,2000-08-09
34,FC Hansa Rostock,SC Freiburg,0,0,2000-08-09
35,FC Energie Cottbus,Eintracht Frankfurt,2,0,2000-08-09
36,1.FC Kaiserslautern,1.FC Köln,3,1,2000-09-15
37,VfL Bochum,VfL Wolfsburg,2,1,2000-09-15
38,Bayer 04 Leverkusen,FC Hansa Rostock,1,2,2000-09-15
39,SC Freiburg,FC Energie Cottbus,4,1,2000-09-15
40,Eintracht Frankfurt,TSV 1860 München,1,0,2000-09-15
41,Hamburger SV,Borussia Dortmund,2,3,2000-09-15
42,FC Bayern München,SpVgg Unterhaching,3,1,2000-09-15
43,Hertha BSC,VfB Stuttgart,2,0,2000-09-15
44,FC Schalke 04,SV Werder Bremen,1,1,2000-09-15
45,TSV 1860 München,SC Freiburg,3,1,2000-09-22
46,1.FC Köln,FC Bayern München,1,2,2000-09-22
47,VfB Stuttgart,VfL Bochum,1,1,2000-09-22
48,VfL Wolfsburg,Hamburger SV,4,4,2000-09-22
49,SV Werder Bremen,Eintracht Frankfurt,1,1,2000-09-22
50,Borussia Dortmund,FC Schalke 04,0,4,2000-09-22
51,FC Energie Cottbus,Bayer 04 Leverkusen,1,2,2000-09-22
52,SpVgg Unterhaching,Hertha BSC,5,2,2000-09-22
53,FC Hansa Rostock,1.FC Kaiserslautern,1,0,2000-09-22
54,Eintracht Frankfurt,Borussia Dortmund,1,1,2000-09-29
55,FC Bayern München,FC Hansa Rostock,0,1,2000-09-29
56,Hertha BSC,1.FC Köln,4,2,2000-09-29
57,1.FC Kaiserslautern,FC Energie Cottbus,1,1,2000-09-29
58,VfL Bochum,SpVgg Unterhaching,3,0,2000-09-29
59,Hamburger SV,FC Schalke 04,2,0,2000-09-29
60,Bayer 04 Leverkusen,TSV 1860 München,0,0,2000-09-29
61,VfL Wolfsburg,VfB Stuttgart,2,2,2000-09-29
62,SC Freiburg,SV Werder Bremen,0,1,2000-09-29
63,Borussia Dortmund,SC Freiburg,1,0,2000-10-13
64,FC Energie Cottbus,FC Bayern München,1,0,2000-10-13
65,TSV 1860 München,1.FC Kaiserslautern,0,4,2000-10-13
66,1.FC Köln,VfL Bochum,2,0,2000-10-13
67,SV Werder Bremen,Bayer 04 Leverkusen,3,3,2000-10-13
68,FC Schalke 04,Eintracht Frankfurt,4,0,2000-10-13
69,VfB Stuttgart,Hamburger SV,3,3,2000-10-13
70,FC Hansa Rostock,Hertha BSC,0,2,2000-10-13
71,SpVgg Unterhaching,VfL Wolfsburg,0,3,2000-10-13
72,1.FC Kaiserslautern,SV Werder Bremen,2,0,2000-10-20
73,FC Bayern München,TSV 1860 München,3,1,2000-10-20
74,Hertha BSC,FC Energie Cottbus,3,1,2000-10-20
75,VfL Wolfsburg,1.FC Köln,6,0,2000-10-20
76,VfB Stuttgart,SpVgg Unterhaching,2,2,2000-10-20
77,Hamburger SV,Eintracht Frankfurt,2,0,2000-10-20
78,Bayer 04 Leverkusen,Borussia Dortmund,2,0,2000-10-20
79,VfL Bochum,FC Hansa Rostock,1,2,2000-10-20
80,SC Freiburg,FC Schalke 04,3,1,2000-10-20
81,FC Energie Cottbus,VfL Bochum,2,0,2000-10-27
82,SV Werder Bremen,FC Bayern München,1,1,2000-10-27
83,Borussia Dortmund,1.FC Kaiserslautern,1,2,2000-10-27
84,FC Hansa Rostock,VfL Wolfsburg,1,1,2000-10-27
85,Eintracht Frankfurt,SC Freiburg,3,0,2000-10-27
86,SpVgg Unterhaching,Hamburger SV,2,1,2000-10-27
87,FC Schalke 04,Bayer 04 Leverkusen,0,0,2000-10-27
88,TSV 1860 München,Hertha BSC,0,1,2000-10-27
89,1.FC Köln,VfB Stuttgart,3,2,2000-10-27
90,Bayer 04 Leverkusen,Eintracht Frankfurt,1,0,2000-03-11
91,Hertha BSC,SV Werder Bremen,4,1,2000-03-11
92,1.FC Kaiserslautern,FC Schalke 04,3,2,2000-03-11
93,VfL Bochum,TSV 1860 München,1,1,2000-03-11
94,Hamburger SV,SC Freiburg,5,0,2000-03-11
95,VfB Stuttgart,FC Hansa Rostock,1,0,2000-03-11
96,FC Bayern München,Borussia Dortmund,6,2,2000-03-11
97,VfL Wolfsburg,FC Energie Cottbus,1,1,2000-03-11
98,SpVgg Unterhaching,1.FC Köln,0,0,2000-03-11
99,Borussia Dortmund,Hertha BSC,2,0,2000-10-11
100,FC Schalke 04,FC Bayern München,3,2,2000-10-11
101,SC Freiburg,Bayer 04 Leverkusen,0,1,2000-10-11
102,TSV 1860 München,VfL Wolfsburg,2,2,2000-10-11
103,FC Hansa Rostock,SpVgg Unterhaching,2,2,2000-10-11
104,1.FC Köln,Hamburger SV,4,2,2000-10-11
105,SV Werder Bremen,VfL Bochum,2,0,2000-10-11
106,Eintracht Frankfurt,1.FC Kaiserslautern,3,1,2000-10-11
107,FC Energie Cottbus,VfB Stuttgart,2,1,2000-10-11
108,VfB Stuttgart,TSV 1860 München,2,2,2000-11-17
109,FC Bayern München,Eintracht Frankfurt,1,2,2000-11-17
110,Hertha BSC,FC Schalke 04,0,4,2000-11-17
111,1.FC Kaiserslautern,SC Freiburg,0,2,2000-11-17
112,VfL Wolfsburg,SV Werder Bremen,1,1,2000-11-17
113,1.FC Köln,FC Hansa Rostock,5,2,2000-11-17
114,Hamburger SV,Bayer 04 Leverkusen,1,3,2000-11-17
115,VfL Bochum,Borussia Dortmund,1,1,2000-11-17
116,SpVgg Unterhaching,FC Energie Cottbus,2,1,2000-11-17
117,FC Schalke 04,VfL Bochum,2,1,2000-11-24
118,SC Freiburg,FC Bayern München,1,1,2000-11-24
119,Eintracht Frankfurt,Hertha BSC,0,4,2000-11-24
120,Borussia Dortmund,VfL Wolfsburg,2,1,2000-11-24
121,FC Energie Cottbus,1.FC Köln,0,2,2000-11-24
122,FC Hansa Rostock,Hamburger SV,1,0,2000-11-24
123,Bayer 04 Leverkusen,1.FC Kaiserslautern,4,2,2000-11-24
124,SV Werder Bremen,VfB Stuttgart,1,0,2000-11-24
125,TSV 1860 München,SpVgg Unterhaching,0,2,2000-11-24
126,Hertha BSC,SC Freiburg,2,2,2000-02-12
127,VfL Bochum,Eintracht Frankfurt,2,1,2000-02-12
128,VfL Wolfsburg,FC Schalke 04,2,0,2000-02-12
129,VfB Stuttgart,Borussia Dortmund,0,2,2000-02-12
130,1.FC Köln,TSV 1860 München,4,0,2000-02-12
131,FC Bayern München,Bayer 04 Leverkusen,2,0,2000-02-12
132,1.FC Kaiserslautern,Hamburger SV,2,1,2000-02-12
133,FC Energie Cottbus,FC Hansa Rostock,1,0,2000-02-12
134,SpVgg Unterhaching,SV Werder Bremen,0,0,2000-02-12
135,Eintracht Frankfurt,VfL Wolfsburg,1,2,2000-08-12
136,SC Freiburg,VfL Bochum,5,0,2000-08-12
137,FC Schalke 04,VfB Stuttgart,2,1,2000-08-12
138,Borussia Dortmund,SpVgg Unterhaching,3,0,2000-08-12
139,TSV 1860 München,FC Hansa Rostock,2,1,2000-08-12
140,1.FC Kaiserslautern,FC Bayern München,0,0,2000-08-12
141,Bayer 04 Leverkusen,Hertha BSC,4,0,2000-08-12
142,SV Werder Bremen,1.FC Köln,2,1,2000-08-12
143,Hamburger SV,FC Energie Cottbus,2,1,2000-08-12
144,SpVgg Unterhaching,FC Schalke 04,0,2,2000-12-12
145,VfL Wolfsburg,SC Freiburg,1,2,2000-12-12
146,VfB Stuttgart,Eintracht Frankfurt,4,1,2000-12-12
147,VfL Bochum,Bayer 04 Leverkusen,3,2,2000-12-12
148,FC Bayern München,Hamburger SV,2,1,2000-12-12
149,Hertha BSC,1.FC Kaiserslautern,2,4,2000-12-12
150,1.FC Köln,Borussia Dortmund,0,0,2000-12-12
151,FC Hansa Rostock,SV Werder Bremen,5,2,2000-12-12
152,FC Energie Cottbus,TSV 1860 München,2,3,2000-12-12
153,SpVgg Unterhaching,Eintracht Frankfurt,2,0,2000-12-15
154,VfL Bochum,1.FC Kaiserslautern,0,1,2000-12-15
155,VfL Wolfsburg,Bayer 04 Leverkusen,2,0,2000-12-15
156,VfB Stuttgart,SC Freiburg,0,0,2000-12-15
157,1.FC Köln,FC Schalke 04,2,2,2000-12-15
158,FC Hansa Rostock,Borussia Dortmund,1,2,2000-12-15
159,TSV 1860 München,Hamburger SV,2,1,2000-12-15
160,Hertha BSC,FC Bayern München,1,3,2000-12-15
161,FC Energie Cottbus,SV Werder Bremen,3,1,2000-12-15
162,FC Schalke 04,FC Hansa Rostock,2,0,2001-01-26
163,FC Bayern München,VfL Bochum,3,2,2001-01-26
164,1.FC Kaiserslautern,VfL Wolfsburg,0,0,2001-01-26
165,SC Freiburg,SpVgg Unterhaching,2,0,2001-01-26
166,Borussia Dortmund,FC Energie Cottbus,2,0,2001-01-26
167,SV Werder Bremen,TSV 1860 München,2,0,2001-01-26
168,Eintracht Frankfurt,1.FC Köln,1,5,2001-01-26
169,Hamburger SV,Hertha BSC,1,2,2001-01-26
170,Bayer 04 Leverkusen,VfB Stuttgart,4,0,2001-01-26
171,TSV 1860 München,Borussia Dortmund,1,0,2001-02-02
172,VfL Wolfsburg,FC Bayern München,1,3,2001-02-02
173,VfL Bochum,Hertha BSC,1,3,2001-02-02
174,1.FC Köln,SC Freiburg,0,1,2001-02-02
175,FC Energie Cottbus,FC Schalke 04,4,1,2001-02-02
176,SV Werder Bremen,Hamburger SV,3,1,2001-02-02
177,VfB Stuttgart,1.FC Kaiserslautern,6,1,2001-02-02
178,SpVgg Unterhaching,Bayer 04 Leverkusen,1,2,2001-02-02
179,FC Hansa Rostock,Eintracht Frankfurt,0,2,2001-02-02
180,Eintracht Frankfurt,FC Energie Cottbus,1,0,2001-09-02
181,FC Bayern München,VfB Stuttgart,1,0,2001-09-02
182,Hertha BSC,VfL Wolfsburg,1,3,2001-09-02
183,1.FC Kaiserslautern,SpVgg Unterhaching,4,0,2001-09-02
184,Hamburger SV,VfL Bochum,3,0,2001-09-02
185,FC Schalke 04,TSV 1860 München,2,0,2001-09-02
186,Bayer 04 Leverkusen,1.FC Köln,4,1,2001-09-02
187,SC Freiburg,FC Hansa Rostock,0,0,2001-09-02
188,Borussia Dortmund,SV Werder Bremen,0,0,2001-09-02
189,TSV 1860 München,Eintracht Frankfurt,2,2,2001-02-16
190,SpVgg Unterhaching,FC Bayern München,1,0,2001-02-16
191,VfL Wolfsburg,VfL Bochum,0,0,2001-02-16
192,FC Hansa Rostock,Bayer 04 Leverkusen,2,1,2001-02-16
193,FC Energie Cottbus,SC Freiburg,0,2,2001-02-16
194,SV Werder Bremen,FC Schalke 04,2,1,2001-02-16
195,Borussia Dortmund,Hamburger SV,4,2,2001-02-16
196,VfB Stuttgart,Hertha BSC,0,1,2001-02-16
197,1.FC Köln,1.FC Kaiserslautern,0,1,2001-02-16
198,Bayer 04 Leverkusen,FC Energie Cottbus,1,3,2001-02-23
199,FC Bayern München,1.FC Köln,1,1,2001-02-23
200,Hamburger SV,VfL Wolfsburg,3,2,2001-02-23
201,SC Freiburg,TSV 1860 München,0,3,2001-02-23
202,FC Schalke 04,Borussia Dortmund,0,0,2001-02-23
203,Eintracht Frankfurt,SV Werder Bremen,1,2,2001-02-23
204,1.FC Kaiserslautern,FC Hansa Rostock,0,1,2001-02-23
205,VfL Bochum,VfB Stuttgart,0,0,2001-02-23
206,Hertha BSC,SpVgg Unterhaching,2,1,2001-02-23
207,Borussia Dortmund,Eintracht Frankfurt,6,1,2001-02-03
208,FC Hansa Rostock,FC Bayern München,3,2,2001-02-03
209,FC Energie Cottbus,1.FC Kaiserslautern,0,2,2001-02-03
210,SpVgg Unterhaching,VfL Bochum,2,1,2001-02-03
211,VfB Stuttgart,VfL Wolfsburg,2,1,2001-02-03
212,SV Werder Bremen,SC Freiburg,3,1,2001-02-03
213,1.FC Köln,Hertha BSC,1,0,2001-02-03
214,TSV 1860 München,Bayer 04 Leverkusen,1,0,2001-02-03
215,FC Schalke 04,Hamburger SV,0,1,2001-02-03
216,Bayer 04 Leverkusen,SV Werder Bremen,3,0,2001-09-03
217,FC Bayern München,FC Energie Cottbus,2,0,2001-09-03
218,Hertha BSC,FC Hansa Rostock,1,0,2001-09-03
219,VfL Bochum,1.FC Köln,2,3,2001-09-03
220,VfL Wolfsburg,SpVgg Unterhaching,6,1,2001-09-03
221,SC Freiburg,Borussia Dortmund,2,2,2001-09-03
222,Eintracht Frankfurt,FC Schalke 04,0,0,2001-09-03
223,1.FC Kaiserslautern,TSV 1860 München,3,2,2001-09-03
224,Hamburger SV,VfB Stuttgart,2,2,2001-09-03
225,1.FC Köln,VfL Wolfsburg,0,0,2001-03-16
226,FC Energie Cottbus,Hertha BSC,3,0,2001-03-16
227,FC Hansa Rostock,VfL Bochum,2,0,2001-03-16
228,Borussia Dortmund,Bayer 04 Leverkusen,1,3,2001-03-16
229,FC Schalke 04,SC Freiburg,0,0,2001-03-16
230,Eintracht Frankfurt,Hamburger SV,1,1,2001-03-16
231,TSV 1860 München,FC Bayern München,0,2,2001-03-16
232,SV Werder Bremen,1.FC Kaiserslautern,1,2,2001-03-16
233,SpVgg Unterhaching,VfB Stuttgart,0,0,2001-03-16
234,VfL Wolfsburg,FC Hansa Rostock,2,1,2001-03-30
235,FC Bayern München,SV Werder Bremen,2,3,2001-03-30
236,Hertha BSC,TSV 1860 München,3,0,2001-03-30
237,SC Freiburg,Eintracht Frankfurt,5,2,2001-03-30
238,VfB Stuttgart,1.FC Köln,0,3,2001-03-30
239,Hamburger SV,SpVgg Unterhaching,1,1,2001-03-30
240,Bayer 04 Leverkusen,FC Schalke 04,0,3,2001-03-30
241,1.FC Kaiserslautern,Borussia Dortmund,1,4,2001-03-30
242,VfL Bochum,FC Energie Cottbus,1,0,2001-03-30
243,FC Energie Cottbus,VfL Wolfsburg,0,0,2001-06-04
244,SV Werder Bremen,Hertha BSC,3,1,2001-06-04
245,TSV 1860 München,VfL Bochum,2,4,2001-06-04
246,Eintracht Frankfurt,Bayer 04 Leverkusen,1,3,2001-06-04
247,SC Freiburg,Hamburger SV,0,0,2001-06-04
248,1.FC Köln,SpVgg Unterhaching,1,1,2001-06-04
249,Borussia Dortmund,FC Bayern München,1,1,2001-06-04
250,FC Schalke 04,1.FC Kaiserslautern,5,1,2001-06-04
251,FC Hansa Rostock,VfB Stuttgart,1,1,2001-06-04
252,VfB Stuttgart,FC Energie Cottbus,1,0,2001-12-04
253,FC Bayern München,FC Schalke 04,1,3,2001-12-04
254,1.FC Kaiserslautern,Eintracht Frankfurt,4,2,2001-12-04
255,VfL Bochum,SV Werder Bremen,1,2,2001-12-04
256,Bayer 04 Leverkusen,SC Freiburg,1,3,2001-12-04
257,VfL Wolfsburg,TSV 1860 München,0,1,2001-12-04
258,Hertha BSC,Borussia Dortmund,1,0,2001-12-04
259,SpVgg Unterhaching,FC Hansa Rostock,1,1,2001-12-04
260,Hamburger SV,1.FC Köln,1,1,2001-12-04
261,Borussia Dortmund,VfL Bochum,5,0,2001-04-20
262,Eintracht Frankfurt,FC Bayern München,0,2,2001-04-20
263,Bayer 04 Leverkusen,Hamburger SV,1,1,2001-04-20
264,SV Werder Bremen,VfL Wolfsburg,2,3,2001-04-20
265,FC Energie Cottbus,SpVgg Unterhaching,1,0,2001-04-20
266,FC Hansa Rostock,1.FC Köln,2,1,2001-04-20
267,FC Schalke 04,Hertha BSC,3,1,2001-04-20
268,SC Freiburg,1.FC Kaiserslautern,5,2,2001-04-20
269,TSV 1860 München,VfB Stuttgart,2,1,2001-04-20
270,VfL Wolfsburg,Borussia Dortmund,1,1,2001-04-27
271,FC Bayern München,SC Freiburg,1,0,2001-04-27
272,Hertha BSC,Eintracht Frankfurt,3,0,2001-04-27
273,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,1,2001-04-27
274,VfB Stuttgart,SV Werder Bremen,2,1,2001-04-27
275,1.FC Köln,FC Energie Cottbus,4,0,2001-04-27
276,VfL Bochum,FC Schalke 04,1,1,2001-04-27
277,SpVgg Unterhaching,TSV 1860 München,3,2,2001-04-27
278,Hamburger SV,FC Hansa Rostock,2,1,2001-04-27
279,Borussia Dortmund,VfB Stuttgart,0,0,2001-04-05
280,Bayer 04 Leverkusen,FC Bayern München,0,1,2001-04-05
281,Eintracht Frankfurt,VfL Bochum,3,0,2001-04-05
282,FC Schalke 04,VfL Wolfsburg,2,1,2001-04-05
283,TSV 1860 München,1.FC Köln,3,1,2001-04-05
284,FC Hansa Rostock,FC Energie Cottbus,1,0,2001-04-05
285,Hamburger SV,1.FC Kaiserslautern,1,1,2001-04-05
286,SC Freiburg,Hertha BSC,1,0,2001-04-05
287,SV Werder Bremen,SpVgg Unterhaching,0,0,2001-04-05
288,FC Bayern München,1.FC Kaiserslautern,2,1,2001-12-05
289,Hertha BSC,Bayer 04 Leverkusen,1,1,2001-12-05
290,VfL Bochum,SC Freiburg,1,3,2001-12-05
291,VfL Wolfsburg,Eintracht Frankfurt,3,0,2001-12-05
292,VfB Stuttgart,FC Schalke 04,1,0,2001-12-05
293,SpVgg Unterhaching,Borussia Dortmund,1,4,2001-12-05
294,1.FC Köln,SV Werder Bremen,1,3,2001-12-05
295,FC Hansa Rostock,TSV 1860 München,0,0,2001-12-05
296,FC Energie Cottbus,Hamburger SV,4,2,2001-12-05
297,Hamburger SV,FC Bayern München,1,1,2001-05-19
298,1.FC Kaiserslautern,Hertha BSC,0,1,2001-05-19
299,Bayer 04 Leverkusen,VfL Bochum,1,0,2001-05-19
300,SC Freiburg,VfL Wolfsburg,4,1,2001-05-19
301,Eintracht Frankfurt,VfB Stuttgart,2,1,2001-05-19
302,FC Schalke 04,SpVgg Unterhaching,5,3,2001-05-19
303,Borussia Dortmund,1.FC Köln,3,3,2001-05-19
304,SV Werder Bremen,FC Hansa Rostock,3,0,2001-05-19
305,TSV 1860 München,FC Energie Cottbus,0,1,2001-05-19
306,TSV 1860 München,1.FC Kaiserslautern,0,4,2001-07-28
307,VfB Stuttgart,1.FC Köln,0,0,2001-07-28
308,FC Energie Cottbus,Hamburger SV,1,0,2001-07-28
309,SC Freiburg,SV Werder Bremen,3,0,2001-07-28
310,Borussia Dortmund,1.FC Nürnberg,2,0,2001-07-28
311,Bayer 04 Leverkusen,VfL Wolfsburg,2,1,2001-07-28
312,Borussia Mönchengladbach,FC Bayern München,1,0,2001-07-28
313,FC St. Pauli,Hertha BSC,0,0,2001-07-28
314,FC Schalke 04,FC Hansa Rostock,3,1,2001-07-28
315,FC Bayern München,FC Schalke 04,3,0,2001-04-08
316,VfL Wolfsburg,FC St. Pauli,1,1,2001-04-08
317,Hertha BSC,Borussia Dortmund,0,2,2001-04-08
318,SV Werder Bremen,FC Energie Cottbus,3,2,2001-04-08
319,Hamburger SV,VfB Stuttgart,2,0,2001-04-08
320,1.FC Köln,TSV 1860 München,2,0,2001-04-08
321,FC Hansa Rostock,Bayer 04 Leverkusen,0,3,2001-04-08
322,1.FC Nürnberg,SC Freiburg,2,0,2001-04-08
323,1.FC Kaiserslautern,Borussia Mönchengladbach,3,2,2001-04-08
324,TSV 1860 München,Hamburger SV,1,1,2001-11-08
325,VfB Stuttgart,SV Werder Bremen,0,0,2001-11-08
326,FC Energie Cottbus,1.FC Nürnberg,1,0,2001-11-08
327,SC Freiburg,Hertha BSC,1,3,2001-11-08
328,Borussia Dortmund,VfL Wolfsburg,4,0,2001-11-08
329,Bayer 04 Leverkusen,FC Bayern München,1,1,2001-11-08
330,1.FC Kaiserslautern,1.FC Köln,2,1,2001-11-08
331,FC St. Pauli,FC Hansa Rostock,0,1,2001-11-08
332,Borussia Mönchengladbach,FC Schalke 04,0,0,2001-11-08
333,SV Werder Bremen,TSV 1860 München,1,3,2001-08-18
334,Hamburger SV,1.FC Kaiserslautern,2,3,2001-08-18
335,1.FC Nürnberg,VfB Stuttgart,2,4,2001-08-18
336,VfL Wolfsburg,SC Freiburg,1,1,2001-08-18
337,FC Hansa Rostock,Borussia Dortmund,0,2,2001-08-18
338,FC Schalke 04,Bayer 04 Leverkusen,3,3,2001-08-18
339,FC Bayern München,FC St. Pauli,2,0,2001-08-18
340,1.FC Köln,Borussia Mönchengladbach,0,2,2001-08-18
341,Hertha BSC,FC Energie Cottbus,2,3,2001-08-18
342,TSV 1860 München,1.FC Nürnberg,1,0,2001-08-09
343,VfB Stuttgart,Hertha BSC,0,0,2001-08-09
344,FC Energie Cottbus,VfL Wolfsburg,3,3,2001-08-09
345,SC Freiburg,FC Hansa Rostock,1,1,2001-08-09
346,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,1,2001-08-09
347,FC St. Pauli,FC Schalke 04,0,2,2001-08-09
348,Borussia Dortmund,FC Bayern München,0,2,2001-08-09
349,1.FC Kaiserslautern,SV Werder Bremen,2,1,2001-08-09
350,1.FC Köln,Hamburger SV,2,1,2001-08-09
351,1.FC Nürnberg,1.FC Kaiserslautern,0,2,2001-09-15
352,VfL Wolfsburg,VfB Stuttgart,0,2,2001-09-15
353,SV Werder Bremen,1.FC Köln,1,1,2001-09-15
354,Hamburger SV,Borussia Mönchengladbach,3,3,2001-09-15
355,Bayer 04 Leverkusen,FC St. Pauli,3,1,2001-09-15
356,FC Schalke 04,Borussia Dortmund,1,0,2001-09-15
357,FC Bayern München,SC Freiburg,1,0,2001-09-15
358,Hertha BSC,TSV 1860 München,2,1,2001-09-15
359,FC Hansa Rostock,FC Energie Cottbus,0,0,2001-09-15
360,VfB Stuttgart,FC Hansa Rostock,2,1,2001-09-22
361,1.FC Köln,1.FC Nürnberg,1,2,2001-09-22
362,Hamburger SV,SV Werder Bremen,0,4,2001-09-22
363,SC Freiburg,FC Schalke 04,2,0,2001-09-22
364,Borussia Dortmund,Bayer 04 Leverkusen,1,1,2001-09-22
365,FC Energie Cottbus,FC Bayern München,0,3,2001-09-22
366,1.FC Kaiserslautern,Hertha BSC,4,1,2001-09-22
367,TSV 1860 München,VfL Wolfsburg,2,1,2001-09-22
368,Borussia Mönchengladbach,FC St. Pauli,2,2,2001-09-22
369,FC Hansa Rostock,TSV 1860 München,2,2,2001-09-29
370,VfL Wolfsburg,1.FC Kaiserslautern,2,0,2001-09-29
371,FC St. Pauli,Borussia Dortmund,1,2,2001-09-29
372,Hertha BSC,1.FC Köln,3,0,2001-09-29
373,FC Schalke 04,FC Energie Cottbus,2,0,2001-09-29
374,1.FC Nürnberg,Hamburger SV,0,0,2001-09-29
375,SV Werder Bremen,Borussia Mönchengladbach,1,0,2001-09-29
376,Bayer 04 Leverkusen,SC Freiburg,4,1,2001-09-29
377,FC Bayern München,VfB Stuttgart,4,0,2001-09-29
378,Borussia Mönchengladbach,Borussia Dortmund,1,2,2001-10-13
379,1.FC Kaiserslautern,FC Hansa Rostock,3,1,2001-10-13
380,VfB Stuttgart,FC Schalke 04,3,0,2001-10-13
381,FC Energie Cottbus,Bayer 04 Leverkusen,2,3,2001-10-13
382,Hamburger SV,Hertha BSC,4,0,2001-10-13
383,SC Freiburg,FC St. Pauli,2,2,2001-10-13
384,TSV 1860 München,FC Bayern München,1,5,2001-10-13
385,1.FC Köln,VfL Wolfsburg,0,4,2001-10-13
386,SV Werder Bremen,1.FC Nürnberg,3,0,2001-10-13
387,FC Schalke 04,TSV 1860 München,1,0,2001-10-20
388,1.FC Nürnberg,Borussia Mönchengladbach,1,2,2001-10-20
389,Bayer 04 Leverkusen,VfB Stuttgart,4,1,2001-10-20
390,FC Hansa Rostock,1.FC Köln,3,0,2001-10-20
391,FC St. Pauli,FC Energie Cottbus,4,0,2001-10-20
392,Hertha BSC,SV Werder Bremen,3,1,2001-10-20
393,FC Bayern München,1.FC Kaiserslautern,4,1,2001-10-20
394,VfL Wolfsburg,Hamburger SV,0,1,2001-10-20
395,Borussia Dortmund,SC Freiburg,0,2,2001-10-20
396,TSV 1860 München,Bayer 04 Leverkusen,1,4,2001-10-27
397,1.FC Kaiserslautern,FC Schalke 04,0,0,2001-10-27
398,VfB Stuttgart,FC St. Pauli,2,0,2001-10-27
399,FC Energie Cottbus,Borussia Dortmund,0,2,2001-10-27
400,Borussia Mönchengladbach,SC Freiburg,2,2,2001-10-27
401,SV Werder Bremen,VfL Wolfsburg,1,0,2001-10-27
402,1.FC Köln,FC Bayern München,0,2,2001-10-27
403,1.FC Nürnberg,Hertha BSC,1,3,2001-10-27
404,Hamburger SV,FC Hansa Rostock,0,1,2001-10-27
405,FC St. Pauli,TSV 1860 München,0,3,2001-03-11
406,Bayer 04 Leverkusen,1.FC Kaiserslautern,2,1,2001-03-11
407,Borussia Dortmund,VfB Stuttgart,1,0,2001-03-11
408,FC Schalke 04,1.FC Köln,3,1,2001-03-11
409,FC Hansa Rostock,SV Werder Bremen,0,1,2001-03-11
410,VfL Wolfsburg,1.FC Nürnberg,5,0,2001-03-11
411,FC Bayern München,Hamburger SV,3,0,2001-03-11
412,SC Freiburg,FC Energie Cottbus,3,1,2001-03-11
413,Hertha BSC,Borussia Mönchengladbach,3,0,2001-03-11
414,TSV 1860 München,Borussia Dortmund,1,3,2001-11-17
415,1.FC Kaiserslautern,FC St. Pauli,5,1,2001-11-17
416,VfB Stuttgart,SC Freiburg,3,0,2001-11-17
417,1.FC Köln,Bayer 04 Leverkusen,1,2,2001-11-17
418,Hamburger SV,FC Schalke 04,0,0,2001-11-17
419,Hertha BSC,VfL Wolfsburg,2,0,2001-11-17
420,SV Werder Bremen,FC Bayern München,1,0,2001-11-17
421,Borussia Mönchengladbach,FC Energie Cottbus,0,0,2001-11-17
